Algeria;Alžírsko
Angola;Angola
Argentina;Argentina
Armenia;Arménie
Australia;Austrálie
Austria;Rakousko
Azerbaijan;Ázerbajdžán
Bahrain;Bahrajn
Bangladesh;Bangladéš
Barbados;Barbados
Belarus;Bělorusko
Belgium;Belgie
Benin;Benin
Bhutan;Bhútán
Bolivia;Bolívie
Botswana;Botswana
Brazil;Brazílie
Brunei;Brunej
Bulgaria;Bulharsko
Burkina Faso;Burkina Faso
Burundi;Burundi
Cambodia;Kambodža
Cameroon;Kamerun
Canada;Kanada
Cape Verde;Kapverdy
Chad;Čad
Chile;Chile
China;Čína
Colombia;Kolumbie
Comoros;Komoros
Congo;Konžská demokratická republika
Congo, Republic of;Kongo
Costa Rica;Kostarika
Cote d'Ivoire;Pobřeží slonoviny
Croatia;Chorvatsko
Cuba;Kuba
Cyprus;Kypr
Czech Republic;Česká republika
Ecuador;Ekvádor
Egypt;Egypt
El Salvador;Salvador
Equatorial Guinea;Rovníková Guinea
Eritrea;Eritrea
Estonia;Estonsko
Ethiopia;Etiopie
Finland;Finsko
France;Francie
Gabon;Gabon
Gambia;;Gambie
Georgia;Gruzie
Germany;Německo
Ghana;Ghana
Greece;Řecko
Grenada;Grenada
Guatemala;Guatemala
Guinea;Guinea
Guinea-Bissau;Guinea-Bissau
Haiti;Haiti
Honduras;Honduras
Hungary;Maďarsko
Iceland;Island
India;Indie
Indonesia;Indonésie
Iran;Írán
Iraq;Irák
Ireland;Irsko
Israel;Izrael
Italy;Itálie
Japan;Japonsko
Jordan;Jordánsko
Kazakhstan;Kazachstán
Kenya;Keňa
Kiribati;Kiribati
Korea;Severní Korea
Korea, Republic of;Korea
Kosovo;Kosovo
Kuwait;Kuwajt
Kyrgyz Republic;Kyrgyzstán
Laos;Laos
Latvia;Lotyšsko
Lebanon;Libanon
Lesotho;Lesotho
Liberia;Libérie
Libya;Libye
Liechtenstein;Lichtenštejnsko
Lithuania;Litva
Luxembourg;Lucembursko
Macedonia;Makedonie
Madagascar;Madagaskar
Malawi;Malawi
Malaysia;Malajsie
Maldives;Maledivy
Mali;Mali
Malta;Malta
Marshall Islands;Marshallovy ostrovy
Mauritania;Mauritánie
Mauritius;Mauricius
Mexico;Mexiko
Moldova;Moldavsko
Monaco;Monako
Mongolia;Mongolsko
Montenegro;Montenegro
Morocco;Maroko
Mozambique;Mosambik
Namibia;Namibie
Nauru;Nauru
Nepal;Nepál
Netherlands;Nizozemsko
New Zealand;Nový Zéland
Nicaragua;Nikaragua
Niger;Niger
Nigeria;Nigérie
Norway;Norsko
Oman;Omán
Pakistan;Pákistán
Palau;Palau
Panama;Panama
Paraguay;Paraguay
Peru;Peru
Philippines;Filipíny
Poland;Polsko
Portugal;Portugalsko
Qatar;Katar
Romania;Rumunsko
Russia;Rusko
Rwanda;Rwanda
Samoa;Samoa
San Marino;San Marino
Saudi Arabia;Saúdská Arábie
Senegal;Senegal
Serbia;Srbsko
Sierra Leone;Sierra Leone
Singapore;Singapur
Slovak Republic;Slovensko
Slovenia;Slovinsko
Somalia;Somálsko
South Africa;Jihoafrická republika
Spain;Španělsko
Sri Lanka;Srí Lanka
Sudan;Súdán
Swaziland;Svazijsko
Sweden;Švédsko
Switzerland;Švýcarsko
Syria;Sýrie
Uganda;Uganda
Ukraine;Ukrajina
United Arab Emirates;Spojené arabské emiráty
United Kingdom;Spojené království
Uruguay;Uruguay
Uzbekistan;Uzbekistán
Venezuela;Venezuela
Vietnam;Vietnam
Yemen;Jemen
Yugoslavia;Jugoslávie
Zambia;Zambie
Zimbabwe;Zimbabwe
