"","country","year","sum"
"1","Afghanistan",1996,3
"2","Afghanistan",1997,3
"3","Afghanistan",1998,0
"4","Afghanistan",1999,2
"5","Afghanistan",2000,1
"6","Afghanistan",2001,0
"7","Afghanistan",2002,5
"8","Afghanistan",2005,8
"9","Albania",1992,20
"10","Albania",1993,19
"11","Albania",1995,20
"12","Albania",1996,18
"13","Albania",1997,19
"14","Albania",1998,22
"15","Albania",1999,22
"16","Albania",2000,17
"17","Albania",2001,22
"18","Albania",2002,23
"19","Albania",2004,23
"20","Albania",2005,21
"21","Algeria",1992,9
"22","Algeria",1993,11
"23","Algeria",1994,10
"24","Algeria",1995,7
"25","Algeria",1996,13
"26","Algeria",1997,10
"27","Algeria",1998,12
"28","Algeria",1999,10
"29","Algeria",2000,15
"30","Algeria",2001,15
"31","Algeria",2002,12
"32","Algeria",2003,10
"33","Algeria",2004,12
"34","Algeria",2005,11
"35","Andorra",2001,26
"36","Andorra",2003,25
"37","Andorra",2005,25
"38","Angola",1993,14
"39","Angola",1994,9
"40","Angola",1995,5
"41","Angola",1996,7
"42","Angola",1997,8
"43","Angola",1998,8
"44","Angola",1999,9
"45","Angola",2000,11
"46","Angola",2001,8
"47","Angola",2002,11
"48","Angola",2003,13
"49","Angola",2004,13
"50","Angola",2005,11
"51","Antigua and Barbuda",2001,26
"52","Antigua and Barbuda",2003,26
"53","Antigua and Barbuda",2004,28
"54","Antigua and Barbuda",2005,25
"55","Argentina",1992,23
"56","Argentina",1993,22
"57","Argentina",2004,26
"58","Argentina",2005,25
"59","Armenia",1992,19
"60","Armenia",1993,21
"61","Armenia",1994,20
"62","Armenia",1995,13
"63","Armenia",1996,16
"64","Armenia",1997,16
"65","Armenia",1998,16
"66","Armenia",1999,19
"67","Armenia",2000,14
"68","Armenia",2001,20
"69","Armenia",2002,19
"70","Armenia",2003,15
"71","Armenia",2004,17
"72","Armenia",2005,15
"73","Australia",1992,30
"74","Australia",1993,29
"75","Australia",1994,27
"76","Australia",1995,30
"77","Australia",1996,28
"78","Australia",1997,29
"79","Australia",1998,28
"80","Australia",1999,29
"81","Australia",2000,29
"82","Australia",2001,29
"83","Australia",2002,29
"84","Australia",2003,30
"85","Australia",2004,29
"86","Australia",2005,27
"87","Austria",1992,28
"88","Austria",1993,28
"89","Austria",1994,28
"90","Austria",1995,27
"91","Austria",1996,28
"92","Austria",1997,27
"93","Austria",1998,24
"94","Austria",2003,26
"95","Austria",2005,25
"96","Azerbaijan",1992,14
"97","Azerbaijan",1993,12
"98","Azerbaijan",1994,11
"99","Azerbaijan",1995,13
"100","Azerbaijan",1996,11
"101","Azerbaijan",1997,14
"102","Azerbaijan",1998,12
"103","Azerbaijan",1999,15
"104","Azerbaijan",2000,12
"105","Azerbaijan",2001,15
"106","Azerbaijan",2002,13
"107","Azerbaijan",2004,12
"108","Azerbaijan",2005,10
"109","Bahamas",2001,27
"110","Bahamas",2003,26
"111","Bahamas",2004,25
"112","Bahamas",2005,25
"113","Bahrain",1992,11
"114","Bahrain",1993,13
"115","Bahrain",1994,13
"116","Bahrain",1995,10
"117","Bahrain",1996,11
"118","Bahrain",1997,13
"119","Bahrain",1998,10
"120","Bahrain",1999,13
"121","Bahrain",2000,10
"122","Bahrain",2001,13
"123","Bahrain",2002,16
"124","Bahrain",2003,16
"125","Bahrain",2004,16
"126","Bahrain",2005,11
"127","Bangladesh",1992,14
"128","Bangladesh",1993,17
"129","Bangladesh",1994,16
"130","Bangladesh",1995,17
"131","Bangladesh",1996,17
"132","Bangladesh",1997,18
"133","Bangladesh",1998,16
"134","Bangladesh",1999,18
"135","Bangladesh",2000,14
"136","Bangladesh",2001,17
"137","Bangladesh",2002,13
"138","Bangladesh",2003,9
"139","Bangladesh",2004,11
"140","Bangladesh",2005,11
"141","Barbados",2001,28
"142","Barbados",2003,29
"143","Barbados",2004,30
"144","Barbados",2005,27
"145","Belarus",1992,13
"146","Belarus",1993,18
"147","Belarus",1994,18
"148","Belarus",1995,14
"149","Belarus",1996,12
"150","Belarus",1997,12
"151","Belarus",1998,11
"152","Belarus",1999,13
"153","Belarus",2000,12
"154","Belarus",2001,12
"155","Belarus",2002,11
"156","Belarus",2003,11
"157","Belarus",2004,11
"158","Belarus",2005,9
"159","Belgium",1992,29
"160","Belgium",1993,30
"161","Belgium",1995,29
"162","Belgium",1996,31
"163","Belgium",1997,31
"164","Belgium",1998,30
"165","Belgium",1999,29
"166","Belgium",2000,30
"167","Belgium",2001,29
"168","Belgium",2002,31
"169","Belgium",2003,33
"170","Belgium",2004,32
"171","Belgium",2005,29
"172","Belize",1992,29
"173","Belize",1993,26
"174","Belize",1994,28
"175","Belize",1995,27
"176","Belize",1996,25
"177","Belize",1997,25
"178","Belize",1998,25
"179","Belize",1999,25
"180","Belize",2000,23
"181","Belize",2001,25
"182","Belize",2002,24
"183","Belize",2003,26
"184","Belize",2004,26
"185","Belize",2005,23
"186","Benin",1992,23
"187","Benin",1993,23
"188","Benin",1994,23
"189","Benin",1995,24
"190","Benin",1996,24
"191","Benin",1997,24
"192","Benin",1998,25
"193","Benin",1999,24
"194","Benin",2000,25
"195","Benin",2001,23
"196","Benin",2002,22
"197","Benin",2003,21
"198","Benin",2004,22
"199","Benin",2005,20
"200","Bhutan",1992,10
"201","Bhutan",1993,9
"202","Bhutan",1994,12
"203","Bhutan",1995,12
"204","Bhutan",1996,15
"205","Bhutan",1997,14
"206","Bhutan",1998,14
"207","Bhutan",1999,12
"208","Bhutan",2000,13
"209","Bhutan",2001,14
"210","Bhutan",2002,14
"211","Bhutan",2003,13
"212","Bhutan",2004,17
"213","Bhutan",2005,15
"214","Bolivia",1994,22
"215","Bolivia",1995,21
"216","Bolivia",1996,23
"217","Bolivia",1997,23
"218","Bolivia",1998,20
"219","Bolivia",1999,23
"220","Bolivia",2000,20
"221","Bolivia",2001,23
"222","Bolivia",2002,23
"223","Bolivia",2003,19
"224","Bolivia",2004,21
"225","Bolivia",2005,20
"226","Bosnia Herzegovenia",2001,21
"227","Bosnia Herzegovenia",2002,21
"228","Bosnia Herzegovenia",2003,21
"229","Bosnia Herzegovenia",2005,18
"230","Botswana",1992,23
